samp_id,sc_id,mc_id,day,treatment,mc_round,age,final_fecal_volume_mL,gene_count_per_microlitre_feces,qpcr_complete,genecount_1µL_qpcr,genecount_total_predf,genecount_total,total_seq,Enterobacteriaceae_ng,Enterococcus,Pseudomonas,Paenibacillus,Cellulosimicrobium,Stenotrophomonas,Bombilactobacillus,Priestia,Mixta,Lactobacillus,Rhizobium,Delftia,Bifidobacterium,Snodgrassella,Sphingomonas,Lysinibacillus,Curtobacterium,Roseomonas,Sphingobacterium,Paracoccus,Comamonadaceae_ng,Apilactobacillus,Dermacoccus,Schmidhempelia,Bombiscardovia,Schmidhempelia,Stenotrophomonas,Rhodococcus,Delftia,Dermacoccus,Methylorubrum,Meiothermus,Stenotrophomonas,Roseomonas,Acinetobacter,Commensalibacter,Arsenophonus,Comamonas,Klebsiella,Enterococcus,Acetobacter,Sphingobium,Brevundimonas,Lachnoclostridium,Leucobacter
M1D3,1,1,3,Control,1,1,0.292651449,422606.9453,yes,164902.0466,8245102.329,123676534.9,24774,4091.969945,0,0,0,0,0,3001554.709,0,0,9751207.28,0,0,3881315.923,2709511.557,0,0,0,0,0,0,0,0,0,0,2603223.964,8607784.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1D5,1,1,5,Control,1,1,0.084162896,628326.7302,yes,70509.063,3525453.15,52881797.25,24123,0,0,0,0,0,0,2209710.715,0,0,3940048.16,0,0,2612833.624,649431.3442,0,0,0,0,0,0,0,0,0,0,798779.0482,2933675.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1D8,1,1,8,Control,1,1,0.175102459,480875.5564,yes,112269.9898,5613499.492,84202492.39,24958,0,0,0,0,0,0,1153828.521,0,0,6950933.176,0,0,2575410.605,3532334.699,0,0,0,0,0,0,0,0,0,0,1662268.325,4806775.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M20D0,1,20,0,800 ng/mL,2,3,0.127237282,379157.3656,yes,64323.93686,3216196.843,48242952.65,29177,0,0,0,0,0,0,1668339.417,261.2096761,0,3626381.059,0,0,1083933.757,1950667.427,0,0,0,0,0,0,0,0,0,0,722412.2516,2711671.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M20D14,1,20,14,800 ng/mL,2,3,0.204074667,455287.7349,yes,123883.5905,6194179.526,92912692.89,25849,0,0,0,0,0,0,2430740.409,0,0,4419830.552,0,0,4367299.216,4218974.565,0,0,0,0,0,0,0,0,0,0,2833900.099,5921840.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M20D3,1,20,3,800 ng/mL,2,3,0.067115385,2286667.057,yes,204627.3865,10231369.32,153470539.9,21403,0,0,0,0,0,0,4352502.819,0,0,13765618.96,0,0,3615403.95,6277786.176,0,0,0,0,0,0,0,0,0,0,2966685.324,6274200.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M20D5,1,20,5,800 ng/mL,2,3,0.192698857,596774.148,yes,153330.2616,7666513.08,114997696.2,28498,0,0,0,0,0,0,3464296.513,0,0,6894865.997,0,0,3330023.168,7881930.31,0,0,0,0,0,0,0,0,0,0,2493913.184,4800986.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M20D8,1,20,8,800 ng/mL,2,3,0.098888614,735626.8192,yes,96993.48876,4849674.438,72745116.57,33694,0,0,0,0,0,0,2335490.879,0,0,3200285.388,0,0,2916910.004,5047726.079,0,0,0,0,0,0,0,0,0,0,1732754.177,3477058.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M22D0,2,22,0,Control,2,3,0.133224122,563973.8741,yes,100179.8989,5008994.947,75134924.21,20511,2251.938406,0,0,0,0,0,3600879.073,0,0,8582028.043,0,0,1355256.484,0,0,0,0,0,0,0,0,0,0,0,0,3217163.832,74736.7307,0,0,0,0,0,299999.5674,0,0,0,0,0,0,0,68348.12984,0,0,0,0
M22D14,2,22,14,Control,2,3,0.165609349,392809.5403,yes,86737.243,4336862.15,65052932.25,28233,0,0,0,0,0,0,1486749.703,0,0,6308427.244,0,0,2636274.26,0,0,0,0,0,0,0,0,0,0,0,678387.8359,4521885.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M22D3,2,22,3,Control,2,3,0.071550449,3487441.665,yes,332704.0227,16635201.13,249528017,21120,0,0,0,0,0,0,9708790.169,0,0,24716214.48,0,0,9877576.444,0,0,0,0,0,0,0,0,0,0,0,917800.0299,13849868.24,0,0,0,0,0,0,40740.61142,0,0,0,0,0,0,0,0,0,0,0,0
