samp_id,sc_id,mc_id,day,treatment,mc_round,age,final_fecal_volume_mL,gene_count_per_microlitre_feces,qpcr_complete,genecount_1µL_qpcr,genecount_total_predf,genecount_total,total_seq
M45D5,3,45,5,1 ng/mL,4,3,0.081178115,1016326.037,yes,110004.5759,5500228.795,82503431.93,27559
M45D8,3,45,8,1 ng/mL,4,3,0.187723087,559490.2863,yes,140038.9916,7001949.58,105029243.7,27227
M46D0,3,46,0,10 ng/mL,4,3,0.258451006,922616.2157,yes,317934.7854,15896739.27,238451089.1,31047
M46D14,3,46,14,10 ng/mL,4,3,0.173362183,1846435.205,yes,426802.7172,21340135.86,320102037.9,23980
M46D3,3,46,3,10 ng/mL,4,3,0.146778209,1236248.372,yes,241939.0958,12096954.79,181454321.9,29439
M46D5,3,46,5,10 ng/mL,4,3,0.176155163,1196347.128,yes,280990.2977,14049514.89,210742723.3,20190
M46D8,3,46,8,10 ng/mL,4,3,0.251219781,530090.6444,yes,177559.0074,8877950.37,133169255.6,24360
M47D0,3,47,0,100 ng/mL,4,3,0.049410273,703620.9662,yes,46354.80537,2317740.269,34766104.03,23072
M47D14,3,47,14,100 ng/mL,4,3,0.060898441,702827.0727,yes,57068.09736,2853404.868,42801073.02,19012
M47D3,3,47,3,100 ng/mL,4,3,0.012912999,6458962.957,yes,111206.1096,5560305.48,83404582.2,27359
M47D5,3,47,5,100 ng/mL,4,3,0.085153991,1006003.088,yes,114220.2372,5711011.86,85665177.9,26478
M47D8,3,47,8,100 ng/mL,4,3,0.097983193,294071.7212,yes,38418.78161,1920939.081,28814086.21,23475
M48D0,3,48,0,800 ng/mL,4,3,0.145545171,506829.2925,yes,98355.40807,4917770.404,73766556.05,25516
M48D14,3,48,14,800 ng/mL,4,3,0.169705029,3548717.004,yes,802980.1628,40149008.14,602235122.1,25347
M48D3,3,48,3,800 ng/mL,4,3,0.137474075,648163.689,yes,118807.6048,5940380.24,89105703.6,22205
M48D5,3,48,5,800 ng/mL,4,3,0.135067848,846537.3373,yes,152453.3018,7622665.09,114339976.4,23132
M48D8,3,48,8,800 ng/mL,4,3,0.118107527,1338273.109,yes,210746.8365,10537341.83,158060127.4,23894
M48FECAL,3,48,Gut,800 ng/mL,4,3,,,yes,802980.1628,40149008.14,602235122.1,25347
M48GUT,3,48,Gut,800 ng/mL,,,,,yes,198452.3598,19845235.98,2976785397,27870
M4D0,1,4,0,10 ng/mL,1,1,0.169108803,195439.1638,yes,44067.31073,2203365.537,33050483.05,29325
M4D14,1,4,14,10 ng/mL,1,1,0.124290419,8390703.092,yes,1390512.004,69525600.21,1042884003,29086
M4D3,1,4,3,10 ng/mL,1,1,0.065360517,760706.7903,yes,66293.58547,3314679.274,49720189.1,29921
M4D5,1,4,5,10 ng/mL,1,1,0.045531915,972321.1499,yes,59028.85861,2951442.93,44271643.95,20808
M4D8,1,4,8,10 ng/mL,1,1,0.156635033,3379477.583,yes,705792.777,35289638.85,529344582.8,25514
M50D0,4,50,0,Control,4,3,0.11793473,717935.4629,yes,112892.7,5644634.999,84669524.98,20905
M50D14,4,50,14,Control,4,3,0.131032819,754160.1549,yes,131759.6414,6587982.072,98819731.08,27394
M50D3,4,50,3,Control,4,3,0.076894898,1191116.519,yes,122121.0443,6106052.214,91590783.21,26028
M50D5,4,50,5,Control,4,3,0.053987876,1421795.034,yes,102346.2587,5117312.934,76759694.02,23791
M50D8,4,50,8,Control,4,3,0.098181049,975983.7786,yes,127764.1483,6388207.413,95823111.19,25286
M51D0,4,51,0,DMSO,4,3,0.159479554,336853.5595,yes,107442.5109,5372125.544,53721255.44,22691
M51D14,4,51,14,DMSO,4,3,0.136255397,1209358.787,yes,219708.8823,10985444.12,164781661.7,27799
M51D3,4,51,3,DMSO,4,3,0.125,1211910.246,yes,201985.041,10099252.05,151488780.7,21514
M51D5,4,51,5,DMSO,4,3,0.209407666,689219.929,yes,192437.2489,9621862.444,144327936.7,23227
M51D8,4,51,8,DMSO,4,3,0.189058296,824944.1299,yes,207950.042,10397502.1,155962531.5,20668
M52D0,4,52,0,1 ng/mL,4,3,0.117749394,376570.4285,yes,59121.253,2956062.65,44340939.75,20205
M52D14,4,52,14,1 ng/mL,4,3,0.08470941,702636.5452,yes,79359.90292,3967995.146,59519927.19,26054
M52D3,4,52,3,1 ng/mL,4,3,0.122699094,689842.9305,yes,112857.4701,5642873.505,84643102.57,25243
M52D5,4,52,5,1 ng/mL,4,3,0.090693257,710238.338,yes,85885.10416,4294255.208,64413828.12,24507
M52D8,4,52,8,1 ng/mL,4,3,0.062570348,3122044.779,yes,260463.2377,13023161.89,195347428.3,20960
M53D0,4,53,0,10 ng/mL,4,3,0.094243617,407488.675,yes,51204.27549,2560213.775,38403206.62,23787
M53D14,4,53,14,10 ng/mL,4,3,0.130537679,304102.7137,yes,52929.14991,2646457.496,39696862.43,22005
M53D3,4,53,3,10 ng/mL,4,3,0.044461421,5887011.861,yes,348993.217,17449660.85,261744912.8,28715
M53D5,4,53,5,10 ng/mL,4,3,0.117750249,1094464.285,yes,171831.2561,8591562.807,128873442.1,24899
M53D8,4,53,8,10 ng/mL,4,3,0.144212077,380030.8206,yes,73073.37862,3653668.931,54805033.96,30392
M54D0,4,54,0,100 ng/mL,4,3,0.105711044,548956.2157,yes,77374.31289,3868715.645,58030734.67,21823
M54D14,4,54,14,100 ng/mL,4,3,0.140165531,182365.2327,yes,34081.75957,1704087.978,25561319.68,20675
M54D3,4,54,3,100 ng/mL,4,3,0.172485738,1096727.106,yes,252226.3791,12611318.95,189169784.3,27034
M54D5,4,54,5,100 ng/mL,4,3,0.187750459,710401.451,yes,177837.598,8891879.902,133378198.5,25421
M54D8,4,54,8,100 ng/mL,4,3,0.074719621,731750.9177,yes,72901.53498,3645076.749,54676151.24,23187
M55D0,4,55,0,800 ng/mL,4,3,0.058112667,1888812.775,yes,146351.9304,7317596.52,109763947.8,29694
M55D14,4,55,14,800 ng/mL,4,3,0.111901819,1489295.444,yes,222206.4923,11110324.61,166654869.2,22792
M55D3,4,55,3,800 ng/mL,4,3,0.113314399,1870980.889,yes,282678.7667,14133938.34,212009075,27474
M55D5,4,55,5,800 ng/mL,4,3,0.027940016,4514183.682,yes,168168.4858,8408424.288,126126364.3,26330
M55D8,4,55,8,800 ng/mL,4,3,0.147637795,154635.6053,yes,30440.07974,1522003.987,22830059.8,26584
M57D0,5,57,0,Control,5,1,0.154767609,1062139.245,yes,219179.6686,10958983.43,164384751.4,26818
M57D14,5,57,14,Control,5,1,0.166266531,1094802.232,yes,242705.2922,12135264.61,182028969.2,26166
M57D3,5,57,3,Control,5,1,0.164729459,,,,,,
M57D5,5,57,5,Control,5,1,0.09944212,519180.8874,yes,68837.93081,3441896.541,51628448.11,23365
M57D8,5,57,8,Control,5,1,0.155222584,,,,,,
M58D0,5,58,0,DMSO,5,1,0.192921453,1872424.097,yes,481641.0367,24082051.83,361230777.5,28969
M58D14,5,58,14,DMSO,5,1,0.264520525,2794286.45,yes,985528.1583,49276407.91,739146118.7,27701
M58D3,5,58,3,DMSO,5,1,0.148156706,1336475.968,yes,264010.5027,13200525.13,198007877,26123
M58D5,5,58,5,DMSO,5,1,0.1364301,1900029.031,yes,345628.201,17281410.05,259221150.7,27336
M58D8,5,58,8,DMSO,5,1,0.180515279,2331082.716,yes,561061.3958,28053069.79,420796046.8,29066
M59D0,5,59,0,1 ng/mL,5,1,0.136227358,1376127.347,yes,249954.9236,12497746.18,187466192.7,25081
M59D14,5,59,14,1 ng/mL,5,1,0.083767216,656823.2106,yes,73360.33568,3668016.784,55020251.76,23186
M59D3,5,59,3,1 ng/mL,5,1,0.086304486,875408.8776,yes,100735.6176,5036780.881,75551713.22,28926
